,Name,Brand,Price,Body,Transmission,Number Of Seats,Segment,Introduction,Drive,Drive System,Fuel,Cylinder Capacity,Max Power Hp,Max Torque,Fuel System,Valve Actuation,Turbo,Fuel Tank,Top Speed,Energy Label,Front Stabilizer,Rear Stabilizer,Num_doors,Dt_Transmission
4291,AUDI A8 3 0,AUDI,84290.0, sedan,,5,f,2004,front,fuel engine,gasoline,5.0,220.0,300.0,multipoint injection,dohc,no,90.0,242.0,g,yes,yes,4,oze automatic
4292,AUDI A8 2 8 FSIE,AUDI,84195.0, sedan,,5,f,2007,front,fuel engine,gasoline,4.0,210.0,280.0,direct injection,dohc,no,90.0,238.0,f,yes,yes,4,oze automatic
4293,AUDI A8 2 0 TFSI HYBRID,AUDI,91090.0, sedan,8.0,5,f,2012,front+rear,hybrid,gasoline,4.0,211.0,350.0,direct injection,dohc,yes,75.0,235.0,b,yes,yes,4,automatic
4294,AUDI S8,AUDI,98969.0, sedan,6.0,5,f,1996,front+rear,fuel engine,gasoline,4.0,340.0,410.0,multipoint injection,dohc,no,90.0,250.0,,yes,yes,4,manual transmission
4295,AUDI S8 QUATTRO,AUDI,102191.0, sedan,6.0,5,f,1999,front+rear,fuel engine,gasoline,5.0,360.0,430.0,multipoint injection,dohc,no,90.0,250.0,g,yes,yes,4,manual transmission
4296,AUDI S8 5 2 FSI QUATTRO,AUDI,138790.0, sedan,6.0,5,f,2006,front+rear,fuel engine,gasoline,4.0,450.0,540.0,direct injection,dohc,no,90.0,250.0,g,yes,yes,4,automatic
4297,AUDI S8 5 2 FSI QUATTRO,AUDI,153485.0, sedan,6.0,5,f,2007,front+rear,fuel engine,gasoline,4.0,450.0,540.0,direct injection,dohc,no,90.0,250.0,g,yes,yes,4,automatic
4298,AUDI S8 4 0 TFSI QUATTRO,AUDI,152420.0, sedan,8.0,5,f,2012,front+rear,fuel engine,gasoline,4.0,520.0,650.0,direct injection,dohc,yes,90.0,250.0,g,yes,yes,4,automatic
4299,AUDI CABRIOLET 1 8 5V,AUDI,35118.0, convertible,5.0,4,,1997,front,fuel engine,gasoline,5.0,125.0,173.0,multipoint injection,dohc,no,70.0,195.0,g,yes,yes,2,manual transmission
4300,AUDI COUPE GT 1 8,AUDI,21779.0, sedan,5.0,5,,1986,front,fuel engine,gasoline,2.0,90.0,137.0,multipoint injection,ohc,no,68.0,172.0,,yes,yes,2,manual transmission
4301,AUDI COUPE GT 1 9,AUDI,19965.0, coupé,5.0,5,,1980,front,fuel engine,gasoline,2.0,115.0,154.0,carburettor,ohc,no,68.0,183.0,,yes,yes,2,manual transmission
4302,AUDI COUPE 1 8,AUDI,19724.0, coupé,5.0,5,,1985,front,fuel engine,gasoline,2.0,90.0,145.0,carburettor,ohc,no,68.0,172.0,,yes,yes,2,manual transmission
